title,description,department
Unable to download purchase history ,Customer is trying to download their complete purchase history as a PDF for tax purposes but the download button is not functioning.,Customer Support
Cross-platform file compatibility issue ,A document created on a Mac is displaying formatting errors when opened on Windows. The issue is affecting collaboration between Mac and PC users.,IT Support
Internship offer letter issuance ,"Eight selected interns for the summer program need to receive formal offer letters with internship terms, stipend details and joining instructions.",HR
Production line downtime report ,Production line B has experienced 14 hours of unplanned downtime this week due to recurring equipment issues. Root cause analysis is needed urgently.,Operations
Support agent gave incorrect information ,Customer followed advice given by a support agent which resulted in their order being cancelled incorrectly. Requesting reinstatement and compensation.,Customer Support
App not available in customer's region ,Customer downloaded the app but is getting a message saying the service is not available in their country even though the website says it is.,Customer Support
Quarterly goals review and reset ,Mid-year review shows some departmental goals are no longer achievable due to market changes. Requesting management approval to reset two specific team targets.,Manager
Attrition rate increase investigation ,Attrition in the technology department has increased to 28 percent in the last 6 months. HR is initiating an investigation including exit interview analysis.,HR
Support agent gave incorrect information ,Customer followed advice given by a support agent which resulted in their order being cancelled incorrectly. Requesting reinstatement and compensation.,Customer Support
Cold storage temperature alarm ,The cold storage unit for perishable inventory triggered a temperature alarm overnight. Stock may be compromised. Immediate assessment is needed.,Operations
Safety incident near miss report ,A near-miss safety incident occurred in the warehouse when a stack of goods nearly fell on a worker. Formal incident report and safety review required.,Operations
Change management support request ,A major process change is being implemented in the department. Manager is requesting HR and senior leadership support for the change management communication.,Manager
Medical reimbursement documents rejected,Employee's medical reimbursement claim was rejected citing incomplete documentation even though all required documents listed in the policy were submitted.,Finance
Competency framework rollout ,HR is rolling out a new competency framework across the organization and needs department heads to map their team roles to the new competency levels.,HR
Payroll cut-off date reminder ,"HR is reminding all managers that any salary-related changes including promotions, transfers and terminations must be submitted before the payroll cut-off date.",HR
API access token expired ,A developer's API access token for an internal service has expired. Requests are returning 401 unauthorized errors and token renewal process is unclear.,IT Support
Helpdesk knowledge base update needed ,Many IT helpdesk articles are outdated following recent system upgrades. The knowledge base needs to be reviewed and updated to reflect current procedures.,IT Support
Regional office closure decision ,Declining business in one regional office makes it economically unviable to continue operating. Manager is presenting closure options and financial implications.,Manager
Product stopped working after 2 days ,A newly purchased electronic item functioned for two days and then stopped working completely. No physical damage and used as per instructions.,Customer Support
System admin access request for audit ,External auditors need temporary read-only access to specific system administration functions for their IT audit next week. Request requires management approval.,IT Support
Gift card not accepted at third party store ,Customer purchased a gift card to use at a partner store but the store's system is rejecting the card code as invalid when the cashier enters it.,Customer Support
Software vulnerability patch urgency ,A critical security vulnerability has been identified in a widely used software package. IT needs management approval to apply emergency patches during business hours.,IT Support
Workstation imaging and reimaging request ,An employee's workstation has become unstable after multiple software issues. IT needs to reimage the device and restore data from the last backup.,IT Support
Re-engagement of boomerang employee ,A former employee who left 18 months ago has applied for a position and has been recommended for rehire. HR needs to process their re-onboarding paperwork.,HR
Employee survey design and distribution ,HR is designing a pulse survey to measure employee engagement following recent organizational changes and needs to finalize questions before distribution.,HR
Corporate Wi-Fi not connecting on new device ,A newly issued tablet cannot connect to the corporate wireless network. The device can see the network but authentication fails repeatedly.,IT Support
Apprenticeship program enrollment ,Two school leavers have been selected for the company's apprenticeship program. HR needs to complete their enrollment and arrange their first-week schedule.,HR
Subscription software cost capitalization query ,IT purchased a new cloud-based software subscription. Finance needs to determine whether the annual cost should be expensed or capitalized as an intangible asset.,Finance
Mobile device remotely wiped incorrectly ,An employee's company phone was remotely wiped by IT due to a mistaken identity during a theft response. Device is now blank and data is lost.,IT Support
Custom order specifications not followed ,Customer placed a custom product order with specific dimensions and color but the delivered item does not match the confirmed order specifications.,Customer Support
Production line downtime report ,Production line B has experienced 14 hours of unplanned downtime this week due to recurring equipment issues. Root cause analysis is needed urgently.,Operations
Invoice processing automation failing ,An automated workflow that processes and routes vendor invoices for approval has stopped functioning. Invoices are piling up and vendor payments are at risk.,IT Support
Laptop battery draining too fast ,Employee's laptop battery that previously lasted 8 hours is now depleting in under 2 hours. No change in usage patterns. Battery health check needed.,IT Support
Outdated OS on employee workstation ,Security scan identified a workstation still running Windows 10 without the latest security patches. OS upgrade needs to be scheduled with the employee.,IT Support
Multi-factor authentication app switch ,IT is migrating all users from one authenticator app to another and needs to coordinate the transition with all employees to avoid login disruptions.,IT Support
Print server migration planning ,IT is planning to migrate from a physical print server to a cloud print solution. Impact assessment and communication plan need to be developed.,IT Support
Company social event planning,"HR is planning the annual company social event and needs to confirm the budget, venue, date and activity options with management before sending invites.",HR
Safety incident near miss report ,A near-miss safety incident occurred in the warehouse when a stack of goods nearly fell on a worker. Formal incident report and safety review required.,Operations
Incorrect depreciation method applied ,Asset depreciation was calculated using the straight-line method for an asset that should have been depreciated using the written-down value method.,Finance
Corporate Wi-Fi not connecting on new device ,A newly issued tablet cannot connect to the corporate wireless network. The device can see the network but authentication fails repeatedly.,IT Support
IT helpdesk portal not loading ,Employees are unable to access the IT helpdesk portal to submit tickets. The page times out. This means all tickets are being raised through email.,IT Support
Salary processing delayed this month ,"Due to a banking holiday on the usual payroll date, salaries were processed 2 days late. Several employees have raised concerns about the delay.",Finance
Asset impairment review required ,One of the company's major assets may have declined in value due to market changes. An impairment review and possible write-down needs to be initiated.,Finance
Interbank transfer confirmation delayed ,An interbank transfer made three days ago has not yet been credited to the beneficiary account. Bank is investigating but update is needed urgently.,Finance
Graduate trainee program assessment ,The 12-month graduate trainee program is coming to an end and HR needs to coordinate the final assessments and conversion offers for the successful trainees.,HR
IT infrastructure upgrade business case ,CTO has submitted a business case for a complete network infrastructure overhaul. Management review of the INR 45 lakh capital investment proposal is requested.,Manager
Sabbatical leave request ,A long-serving employee is requesting a 3-month unpaid sabbatical leave for personal development purposes. Policy allows this after 7 years of service.,HR
Customer charged after free trial ,Customer signed up for a free trial and claims they cancelled before the trial ended but was still charged for the first month of the paid plan.,Customer Support
Support ticket closed without resolution ,Customer's support ticket was marked as resolved and closed by the agent but the underlying issue was never actually fixed. Reopening request filed.,Customer Support
End-of-year leave planning communication ,HR needs to send guidance to all employees about the process for planning and submitting year-end leave requests before the holiday period begins.,HR
Software vulnerability patch urgency ,A critical security vulnerability has been identified in a widely used software package. IT needs management approval to apply emergency patches during business hours.,IT Support
Unable to download purchase history ,Customer is trying to download their complete purchase history as a PDF for tax purposes but the download button is not functioning.,Customer Support
Skill gap analysis for department ,HR is conducting a skill gap analysis for the engineering department to identify training priorities and inform the next year's learning and development budget.,HR
Counterfeit product suspected ,Customer suspects the branded product they received is counterfeit based on poor print quality on the packaging and slight differences in product appearance.,Customer Support
New hire pre-employment health check ,Two new employees joining next month need pre-employment medical examinations as required for their specific roles. Appointments need to be scheduled.,HR
Regional office closure decision ,Declining business in one regional office makes it economically unviable to continue operating. Manager is presenting closure options and financial implications.,Manager
Employee survey design and distribution ,HR is designing a pulse survey to measure employee engagement following recent organizational changes and needs to finalize questions before distribution.,HR
Change management support request ,A major process change is being implemented in the department. Manager is requesting HR and senior leadership support for the change management communication.,Manager
Emergency response plan activation ,A potential flooding risk has been identified at the main office location. Emergency response plan needs to be activated and employees need to be briefed.,Manager
Regulatory filing deadline extension request ,"Due to extraordinary circumstances, the company needs to request a filing extension from the regulator. Management authorization for the extension request is needed.",Manager
Overdraft fee charged on company account ,Company's current account was charged an overdraft fee this month. Finance team needs to investigate the reason and ensure it does not recur.,Finance
System admin access request for audit ,External auditors need temporary read-only access to specific system administration functions for their IT audit next week. Request requires management approval.,IT Support
Shift schedule not published on time ,"Operations employees are complaining that the next month's shift schedule has not been published with adequate notice, causing personal planning difficulties.",HR
Overdraft fee charged on company account ,Company's current account was charged an overdraft fee this month. Finance team needs to investigate the reason and ensure it does not recur.,Finance
Gift card not accepted at third party store ,Customer purchased a gift card to use at a partner store but the store's system is rejecting the card code as invalid when the cashier enters it.,Customer Support
Logistics software system error ,The logistics management software is displaying incorrect vehicle tracking information. Dispatch team is unable to monitor delivery status in real time.,Operations
Inventory barcode scanner not reading ,The barcode scanner used in the warehouse for inventory tracking is not reading barcodes correctly. This is causing inventory count errors and dispatch delays.,Operations
